Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
América (MG),46,38.0,42,510,155,30.4,13.42,4.08,0.07,0.25,19.0,17,4,6,46.6,42.0,0.08,-4.6,-4.0
Ath Paranaense,40,38.0,51,551,168,30.5,14.5,4.42,0.09,0.28,19.3,23,4,4,51.1,48.2,0.09,-0.1,-1.2
Atlético Mineiro,31,38.0,51,480,165,34.4,12.63,4.34,0.09,0.27,20.1,43,6,6,46.5,42.3,0.09,4.5,2.7
Bahia,35,38.0,48,535,164,30.7,14.08,4.32,0.08,0.27,18.5,16,4,4,50.6,47.5,0.09,-2.6,-3.5
Botafogo (RJ),36,38.0,56,516,168,32.6,13.58,4.42,0.1,0.3,19.2,21,5,7,50.1,44.6,0.09,5.9,6.4
Corinthians,36,38.0,45,455,156,34.3,11.97,4.11,0.09,0.25,19.4,18,6,7,40.5,35.1,0.08,4.5,3.9
Coritiba,47,38.0,40,420,140,33.3,11.05,3.68,0.08,0.23,20.3,30,8,9,39.3,32.2,0.08,0.7,-0.2
Cruzeiro,38,38.0,32,525,162,30.9,13.82,4.26,0.06,0.19,19.2,28,2,4,48.9,45.7,0.09,-16.9,-15.7
Cuiabá,30,38.0,39,440,131,29.8,11.58,3.45,0.07,0.24,20.1,16,7,8,38.7,32.7,0.08,0.3,-0.7
Flamengo,32,38.0,55,490,168,34.3,12.89,4.42,0.1,0.28,18.3,15,8,9,50.4,43.4,0.09,4.6,3.6
Fluminense,37,38.0,51,545,202,37.1,14.34,5.32,0.09,0.24,19.4,18,3,5,49.9,46.0,0.09,1.1,2.0
Fortaleza,32,38.0,44,540,181,33.5,14.21,4.76,0.07,0.22,19.1,30,5,7,51.5,46.0,0.09,-7.5,-7.0
Goiás,42,38.0,35,492,133,27.0,12.95,3.5,0.06,0.23,18.9,20,5,5,36.6,32.8,0.07,-1.6,-2.8
Grêmio,44,38.0,61,500,186,37.2,13.16,4.89,0.11,0.3,18.1,18,5,7,49.9,44.5,0.09,11.1,11.5
Internacional,35,38.0,45,459,146,31.8,12.08,3.84,0.09,0.29,19.6,23,3,4,42.4,39.1,0.09,2.6,2.9
Palmeiras,33,38.0,62,609,206,33.8,16.03,5.42,0.1,0.29,18.6,26,2,4,57.2,54.1,0.09,4.8,5.9
RB Bragantino,35,38.0,48,635,208,32.8,16.71,5.47,0.07,0.22,19.3,27,3,3,57.9,55.5,0.09,-9.9,-10.5
Santos,46,38.0,37,463,146,31.5,12.18,3.84,0.07,0.21,18.1,29,6,6,42.6,37.9,0.08,-5.6,-6.9
São Paulo,38,38.0,40,513,162,31.6,13.5,4.26,0.07,0.22,19.5,20,5,9,49.5,42.1,0.08,-9.5,-7.1
Vasco da Gama,38,38.0,41,476,148,31.1,12.53,3.89,0.08,0.25,17.5,30,4,4,47.6,44.5,0.1,-6.6,-7.5
