Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Nino Paraíba,br BRA,DF,29.0,34.5,8,0,0,,,,,,,,,0,Matches
Vagner,br BRA,GK,25.0,33.0,4,0,0,,,,,,,,,0,Matches
Romário,br BRA,DF,22.0,29.5,9,1,0,,,,,,,,,0,Matches
Antonio Carlos,br BRA,DF,21.0,29.0,6,1,0,,,,,,,,,1,Matches
Eduardo Neto,br BRA,"DF,MF",26.0,25.2,14,1,1,,,,,,,,,0,Matches
Emerson,br BRA,DF,31.0,25.5,8,0,0,,,,,,,,,0,Matches
Renan,br BRA,MF,17.0,19.9,6,0,0,,,,,,,,,0,Matches
Anderson Lopes,br BRA,"FW,MF",21.0,20.1,6,0,0,,,,,,,,,0,Matches
Jeci,br BRA,DF,34.0,17.7,7,0,0,,,,,,,,,1,Matches
Pablo,br BRA,"DF,FW",25.0,19.3,3,0,0,,,,,,,,,0,Matches
Renan Oliveira,br BRA,"FW,MF",25.0,16.2,1,0,0,,,,,,,,,0,Matches
Rômulo,br BRA,"FW,MF",19.0,16.6,4,0,0,,,,,,,,,0,Matches
André Lima,br BRA,FW,29.0,14.5,5,0,0,,,,,,,,,0,Matches
Adriano Bispo,br BRA,MF,27.0,12.6,5,0,0,,,,,,,,,0,Matches
Marquinhos,br BRA,MF,33.0,11.7,5,0,0,,,,,,,,,0,Matches
Léo Gamalho,br BRA,FW,29.0,11.3,0,0,0,,,,,,,,,0,Matches
Tinga,br BRA,MF,24.0,11.9,1,0,0,,,,,,,,,0,Matches
Everton Silva,br BRA,DF,26.0,8.7,7,0,0,,,,,,,,,0,Matches
Néstor Camacho,py PAR,"FW,MF",27.0,8.6,2,0,0,,,,,,,,,0,Matches
Eltinho,br BRA,DF,27.0,6.4,4,0,0,,,,,,,,,0,Matches
Jubal,br BRA,DF,21.0,6.0,3,0,0,,,,,,,,,0,Matches
Claudinei,br BRA,MF,26.0,4.9,2,0,0,,,,,,,,,0,Matches
Diego,br BRA,GK,32.0,5.0,0,0,0,,,,,,,,,0,Matches
William,br BRA,"FW,MF",31.0,4.9,1,0,0,,,,,,,,,0,Matches
Hugo,br BRA,FW,26.0,4.3,1,0,0,,,,,,,,,0,Matches
Roberto César,br BRA,"FW,MF",29.0,7.7,4,0,0,,,,,,,,,0,Matches
Rudnei da Rosa,br BRA,MF,30.0,2.7,0,0,0,,,,,,,,,0,Matches
Tauã,br BRA,FW,21.0,2.7,2,0,0,,,,,,,,,0,Matches
Juninho,tl TLS,MF,25.0,1.7,0,0,0,,,,,,,,,0,Matches
Denner,br BRA,MF,20.0,1.8,0,0,0,,,,,,,,,0,Matches
Lucas Lovat,br BRA,DF,18.0,1.0,1,0,0,,,,,,,,,0,Matches
Uelliton,br BRA,MF,27.0,1.0,0,0,0,,,,,,,,,0,Matches
Marrone,br BRA,DF,22.0,0.6,1,0,0,,,,,,,,,0,Matches
Conrado,br BRA,FW,23.0,0.8,0,0,0,,,,,,,,,0,Matches
Iury de Castilho,br BRA,"FW,MF",19.0,0.4,0,0,0,,,,,,,,,0,Matches
Eduardo Costa,br BRA,MF,32.0,0.1,0,0,0,,,,,,,,,0,Matches
Squad Total,,,26.1,38.0,121,3,1,,,,,,,,,2,
Opponent Total,,,26.2,38.0,91,5,2,,,,,,,,,1,
