Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Marcelo Lomba,br BRA,GK,27.0,36.6,4,1,1,,,,,,,,,0,Matches
Rafael Miranda,br BRA,MF,29.0,27.8,4,0,0,,,,,,,,,0,Matches
Demerson,br BRA,DF,27.0,27.5,6,0,0,,,,,,,,,0,Matches
Titi,br BRA,DF,25.0,23.6,10,1,1,,,,,,,,,0,Matches
Guilherme Santos,br BRA,"DF,MF",25.0,23.0,12,2,2,,,,,,,,,0,Matches
Lucas Fonseca,br BRA,DF,28.0,22.0,4,0,0,,,,,,,,,0,Matches
Fahel,br BRA,MF,32.0,21.0,11,1,1,,,,,,,,,1,Matches
Kieza,br BRA,FW,27.0,18.4,8,0,0,,,,,,,,,0,Matches
Pará,br BRA,DF,18.0,18.2,5,0,0,,,,,,,,,0,Matches
Uelliton,br BRA,MF,26.0,17.7,7,1,0,,,,,,,,,0,Matches
Railan,br BRA,DF,19.0,17.6,2,0,0,,,,,,,,,0,Matches
Roniery,br BRA,DF,26.0,15.0,6,1,1,,,,,,,,,0,Matches
Maxi Biancucchi,ar ARG,"FW,MF",29.0,14.0,3,0,0,,,,,,,,,0,Matches
Léo Gago,br BRA,MF,30.0,12.4,4,0,0,,,,,,,,,0,Matches
Emanuel Biancucchi,ar ARG,MF,25.0,12.7,0,0,0,,,,,,,,,0,Matches
Henrique Almeida,br BRA,FW,22.0,13.3,3,0,0,,,,,,,,,0,Matches
Diego Macedo,br BRA,"DF,MF",26.0,10.2,0,0,0,,,,,,,,,0,Matches
Rhayner,br BRA,"FW,MF",23.0,10.3,5,0,0,,,,,,,,,0,Matches
Talisca,br BRA,"FW,MF",19.0,8.5,3,0,0,,,,,,,,,0,Matches
Rafael Lima Pereira,br BRA,FW,20.0,9.2,1,0,0,,,,,,,,,0,Matches
Marcos Aurélio,br BRA,"FW,MF",29.0,7.9,1,0,0,,,,,,,,,0,Matches
Bruno Paulista,br BRA,MF,18.0,7.3,1,0,0,,,,,,,,,0,Matches
William Barbio,br BRA,"FW,MF",21.0,11.2,0,0,0,,,,,,,,,0,Matches
Branquinho,br BRA,"FW,MF",31.0,5.2,2,0,0,,,,,,,,,0,Matches
Lincoln,br BRA,MF,35.0,5.1,2,0,0,,,,,,,,,0,Matches
Rafael Galhardo,br BRA,DF,22.0,4.5,0,0,0,,,,,,,,,0,Matches
Wilson Pittoni,py PAR,MF,28.0,3.7,0,0,0,,,,,,,,,0,Matches
Adaílton,br BRA,DF,30.0,2.5,0,0,0,,,,,,,,,0,Matches
Rômulo,br BRA,"FW,MF",18.0,2.3,0,0,0,,,,,,,,,0,Matches
Feijão,br BRA,MF,19.0,2.0,0,0,0,,,,,,,,,0,Matches
Douglas Pires,br BRA,GK,23.0,1.4,2,0,0,,,,,,,,,0,Matches
Potita,br BRA,FW,29.0,1.2,0,0,0,,,,,,,,,0,Matches
Raul,br BRA,DF,28.0,1.0,1,0,0,,,,,,,,,0,Matches
Hélder,br BRA,MF,29.0,0.6,0,0,0,,,,,,,,,0,Matches
Jeam,br BRA,FW,19.0,1.3,0,0,0,,,,,,,,,0,Matches
Erick Luis,br BRA,FW,21.0,0.3,0,0,0,,,,,,,,,0,Matches
Alessandro Nunes,br BRA,FW,31.0,0.2,0,0,0,,,,,,,,,0,Matches
Jacó,br BRA,FW,17.0,0.0,0,0,0,,,,,,,,,0,Matches
Squad Total,,,26.2,38.0,107,7,6,,,,,,,,,1,
Opponent Total,,,26.2,38.0,104,8,3,,,,,,,,,1,
