Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Giuliano de Paula,br BRA,"FW,MF",24.0,34.1,0,0,0,,,,,,,,,0,Matches
Walace,br BRA,MF,19.0,33.0,13,1,1,,,,,,,,,0,Matches
Marcelo Oliveira,br BRA,"DF,MF",27.0,32.5,6,0,0,,,,,,,,,0,Matches
Rafael Galhardo,br BRA,DF,23.0,31.8,9,0,0,,,,,,,,,0,Matches
Luan Vieira,br BRA,"FW,MF",21.0,30.7,5,0,0,,,,,,,,,0,Matches
Pedro Geromel,br BRA,DF,29.0,30.4,7,0,0,,,,,,,,,0,Matches
Douglas dos Santos,br BRA,MF,32.0,26.3,6,0,0,,,,,,,,,0,Matches
Pedro Rocha Neves,br BRA,"FW,MF",20.0,21.9,3,1,0,,,,,,,,,0,Matches
Marcelo Grohe,br BRA,GK,28.0,21.8,5,0,0,,,,,,,,,0,Matches
Maicon Souza,br BRA,MF,29.0,21.1,4,0,0,,,,,,,,,0,Matches
Frickson Erazo,ec ECU,DF,26.0,22.1,2,0,0,,,,,,,,,1,Matches
Tiago Machowski,br BRA,GK,21.0,11.6,4,0,0,,,,,,,,,0,Matches
Rhodolfo,br BRA,DF,28.0,10.9,0,0,0,,,,,,,,,0,Matches
Edinho Campos,br BRA,MF,32.0,12.0,8,0,0,,,,,,,,,0,Matches
Bobô,br BRA,FW,30.0,9.7,1,0,0,,,,,,,,,0,Matches
Bressan,br BRA,DF,22.0,9.0,4,0,0,,,,,,,,,0,Matches
Everton Soares,br BRA,"FW,MF",18.0,6.9,0,0,0,,,,,,,,,0,Matches
Fernandinho,br BRA,"FW,MF",29.0,6.6,2,0,0,,,,,,,,,0,Matches
Marcelo Hermes,br BRA,"DF,MF",19.0,6.5,1,0,0,,,,,,,,,0,Matches
Yuri Mamute,br BRA,FW,19.0,7.0,3,0,0,,,,,,,,,0,Matches
Bruno Grassi,br BRA,GK,27.0,4.7,1,0,0,,,,,,,,,0,Matches
Ramiro Benetti,br BRA,"DF,MF",21.0,4.4,3,0,0,,,,,,,,,0,Matches
Rafael Thyere,br BRA,DF,21.0,3.6,1,0,0,,,,,,,,,0,Matches
Lucas Ramon,br BRA,DF,20.0,3.2,3,0,0,,,,,,,,,0,Matches
Moisés Wolschick,br BRA,MF,20.0,2.8,2,0,0,,,,,,,,,0,Matches
Fellipe Bastos,br BRA,MF,24.0,2.3,1,0,0,,,,,,,,,0,Matches
Maxi Rodríguez,uy URU,"FW,MF",24.0,2.1,1,0,0,,,,,,,,,0,Matches
William Schuster,br BRA,MF,27.0,1.2,0,0,0,,,,,,,,,0,Matches
Matías Rodríguez,ar ARG,"DF,MF",28.0,1.2,0,0,0,,,,,,,,,0,Matches
Lincoln,br BRA,MF,16.0,0.9,0,0,0,,,,,,,,,0,Matches
Júnior Tavares,br BRA,"DF,MF",18.0,0.7,0,0,0,,,,,,,,,0,Matches
Araujo,br BRA,MF,19.0,0.6,0,0,0,,,,,,,,,0,Matches
Braian Rodríguez,uy URU,FW,28.0,2.7,2,0,0,,,,,,,,,0,Matches
Victor Rangel,br BRA,FW,24.0,1.0,0,0,0,,,,,,,,,0,Matches
Squad Total,,,25.4,38.0,97,2,1,,,,,,,,,1,
Opponent Total,,,26.3,38.0,109,7,4,,,,,,,,,2,
