Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Éverton,br BRA,MF,26.0,29.9,9,1,1,,,,,,,,,0,Matches
Márcio Araújo,br BRA,"DF,MF",30.0,30.5,4,0,0,,,,,,,,,0,Matches
Héctor Canteros,ar ARG,MF,25.0,28.2,9,1,1,,,,,,,,,0,Matches
Wallace Reis,br BRA,DF,27.0,26.9,5,0,0,,,,,,,,,0,Matches
Pará,br BRA,"DF,MF",28.0,26.5,4,0,0,,,,,,,,,1,Matches
Paulo Victor Vidotti,br BRA,GK,28.0,24.0,3,0,0,,,,,,,,,0,Matches
Alan Patrick,br BRA,MF,23.0,22.5,5,0,0,,,,,,,,,0,Matches
Jorge,br BRA,DF,18.0,21.8,8,1,1,,,,,,,,,0,Matches
Emerson Sheik,qa QAT,FW,36.0,20.3,6,0,0,,,,,,,,,0,Matches
Samir Santos,br BRA,DF,20.0,18.1,2,0,0,,,,,,,,,2,Matches
César,br BRA,DF,22.0,18.8,3,0,0,,,,,,,,,0,Matches
Jonas,br BRA,MF,23.0,12.8,8,2,2,,,,,,,,,0,Matches
César,br BRA,GK,23.0,14.0,2,0,0,,,,,,,,,0,Matches
Paolo Guerrero,pe PER,FW,31.0,13.8,8,1,1,,,,,,,,,0,Matches
Gabriel,br BRA,"FW,MF",25.0,13.5,0,0,0,,,,,,,,,0,Matches
Paulinho,br BRA,"FW,MF",26.0,13.5,3,0,0,,,,,,,,,0,Matches
Marcelo Cirino,br BRA,"FW,MF",23.0,12.1,3,0,0,,,,,,,,,0,Matches
Kayke Rodrigues,br BRA,FW,26.0,10.8,2,0,0,,,,,,,,,0,Matches
Ayrton Ganino,br BRA,DF,29.0,9.8,1,0,0,,,,,,,,,0,Matches
Marcelo,br BRA,DF,23.0,9.1,1,0,0,,,,,,,,,1,Matches
Luiz Antônio,br BRA,"DF,MF",23.0,8.3,3,0,0,,,,,,,,,0,Matches
Víctor Cáceres,py PAR,"DF,MF",29.0,4.6,1,0,0,,,,,,,,,0,Matches
Alecsandro,br BRA,FW,33.0,4.0,1,0,0,,,,,,,,,0,Matches
Eduardo da Silva,hr CRO,FW,31.0,3.5,1,0,0,,,,,,,,,0,Matches
Pablo Armero,co COL,"DF,MF",28.0,3.3,0,0,0,,,,,,,,,0,Matches
Anderson Pico,br BRA,DF,26.0,2.9,0,0,0,,,,,,,,,0,Matches
Bressan,br BRA,DF,22.0,3.1,1,0,0,,,,,,,,,0,Matches
Jajá,br BRA,MF,19.0,2.1,0,0,0,,,,,,,,,0,Matches
Ederson,br BRA,MF,29.0,3.2,0,0,0,,,,,,,,,0,Matches
Almir Lopes de Luna,br BRA,"FW,MF",32.0,1.9,0,0,0,,,,,,,,,0,Matches
Arthur Maia,br BRA,MF,22.0,1.9,0,0,0,,,,,,,,,0,Matches
Thiago Santos,br BRA,FW,19.0,0.3,0,0,0,,,,,,,,,0,Matches
Lucas Mugni,ar ARG,MF,23.0,0.2,1,0,0,,,,,,,,,0,Matches
Rodrigo Frauches,br BRA,DF,22.0,0.1,0,0,0,,,,,,,,,0,Matches
Matheus Sávio,br BRA,MF,17.0,0.1,0,0,0,,,,,,,,,0,Matches
Ronaldo,br BRA,MF,18.0,0.1,0,0,0,,,,,,,,,0,Matches
Squad Total,,,26.4,38.0,94,6,6,,,,,,,,,4,
Opponent Total,,,26.4,38.0,98,5,2,,,,,,,,,0,
