Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Willian Arão,br BRA,MF,26.0,35,33,2937.0,32.6,2.0,5.0,7.0,2.0,0.0,0.0,3.0,0.0,3.4,3.4,2.1,5.5,19.0,235.0,52.0,0.06,0.15,0.21,0.06,0.21,0.1,0.06,0.17,0.1,0.17,Matches
Diego Alves,br BRA,GK,33.0,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Henrique,br BRA,"FW,MF",28.0,33,29,2570.0,28.6,21.0,3.0,24.0,21.0,0.0,1.0,9.0,0.0,20.3,19.3,5.9,25.2,95.0,60.0,304.0,0.74,0.11,0.84,0.74,0.84,0.71,0.21,0.92,0.68,0.88,Matches
Gabriel Barbosa,br BRA,FW,22.0,29,29,2537.0,28.2,25.0,9.0,34.0,20.0,5.0,5.0,13.0,1.0,23.2,19.6,6.3,25.9,91.0,86.0,233.0,0.89,0.32,1.21,0.71,1.03,0.82,0.22,1.05,0.7,0.92,Matches
Rodrigo Caio,br BRA,DF,25.0,29,28,2418.0,26.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.3,2.2,0.6,2.9,27.0,91.0,3.0,0.07,0.0,0.07,0.07,0.07,0.08,0.02,0.11,0.08,0.11,Matches
Everton Ribeiro,br BRA,"MF,FW",29.0,32,27,2454.0,27.3,2.0,7.0,9.0,2.0,0.0,0.0,3.0,0.0,3.1,3.1,10.7,13.8,156.0,250.0,265.0,0.07,0.26,0.33,0.07,0.33,0.12,0.39,0.51,0.12,0.51,Matches
Gerson,br BRA,MF,21.0,27,23,1999.0,22.2,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,2.7,4.2,56.0,164.0,87.0,0.09,0.14,0.23,0.09,0.23,0.07,0.12,0.19,0.07,0.19,Matches
Pablo Marí,es ESP,DF,25.0,22,22,1980.0,22.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.5,1.5,0.7,2.2,15.0,128.0,5.0,0.09,0.05,0.14,0.09,0.14,0.07,0.03,0.1,0.07,0.1,Matches
Giorgian De Arrascaeta,uy URU,"MF,FW",24.0,23,22,1814.0,20.2,13.0,14.0,27.0,12.0,1.0,1.0,1.0,0.0,7.7,6.9,11.8,18.7,74.0,163.0,175.0,0.64,0.69,1.34,0.6,1.29,0.38,0.59,0.97,0.34,0.93,Matches
