Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Magrão,br BRA,GK,36.0,38.0,1,0,0,,,,,,,,,0,Matches
Renê,br BRA,DF,21.0,37.3,2,0,0,,,,,,,,,0,Matches
Durval,br BRA,DF,33.0,34.6,10,1,1,,,,,,,,,0,Matches
Francisco Rithely,br BRA,MF,23.0,33.5,5,0,0,,,,,,,,,2,Matches
Patric Cabral Lalau,br BRA,"DF,MF",24.0,33.4,7,0,0,,,,,,,,,0,Matches
Wendel Geraldo,br BRA,MF,31.0,20.1,10,0,0,,,,,,,,,0,Matches
Felipe Azevedo,br BRA,"FW,MF",27.0,22.5,3,0,0,,,,,,,,,0,Matches
Neto Baiano,br BRA,FW,31.0,21.8,2,1,0,,,,,,,,,0,Matches
Rodrigo Mancha,br BRA,"DF,MF",27.0,16.5,5,0,0,,,,,,,,,0,Matches
Diego Souza,br BRA,"FW,MF",28.0,15.9,3,0,0,,,,,,,,,0,Matches
Ewerton Páscoa,br BRA,DF,24.0,14.7,1,0,0,,,,,,,,,1,Matches
Ibson,br BRA,MF,30.0,12.4,1,0,0,,,,,,,,,0,Matches
Ferron,br BRA,DF,28.0,12.0,2,0,0,,,,,,,,,0,Matches
Danilo Barcelos,br BRA,"DF,MF",22.0,12.5,6,0,0,,,,,,,,,0,Matches
Ananias,br BRA,MF,25.0,13.0,2,0,0,,,,,,,,,0,Matches
Erico Junior,br BRA,FW,20.0,7.9,2,0,0,,,,,,,,,0,Matches
Henrique Mattos,br BRA,DF,23.0,8.5,2,0,0,,,,,,,,,0,Matches
Ronaldo Henrique,br BRA,MF,19.0,7.6,3,0,0,,,,,,,,,0,Matches
Augusto César Moreira,br BRA,MF,21.0,7.4,1,0,0,,,,,,,,,0,Matches
Joelinton,br BRA,"FW,MF",17.0,5.9,1,0,0,,,,,,,,,0,Matches
Zé Mário,br BRA,MF,21.0,5.9,2,0,0,,,,,,,,,0,Matches
Mike,br BRA,"FW,MF",20.0,5.9,1,0,0,,,,,,,,,0,Matches
Oswaldo,br BRA,DF,21.0,5.8,0,0,0,,,,,,,,,0,Matches
Vítor,br BRA,DF,31.0,5.4,1,0,0,,,,,,,,,0,Matches
Leonardo Gonçalves Silva,br BRA,FW,31.0,4.8,1,0,0,,,,,,,,,0,Matches
Renan Oliveira,br BRA,"FW,MF",24.0,4.6,0,0,0,,,,,,,,,0,Matches
Aílton,br BRA,MF,29.0,2.5,1,0,0,,,,,,,,,0,Matches
Igor,br BRA,DF,21.0,2.4,0,0,0,,,,,,,,,0,Matches
Régis,br BRA,MF,21.0,1.9,1,0,0,,,,,,,,,0,Matches
Willian,br BRA,MF,20.0,2.3,0,0,0,,,,,,,,,0,Matches
Robert Mario Flores,uy URU,MF,27.0,0.2,0,0,0,,,,,,,,,0,Matches
James Dean,br BRA,MF,16.0,0.2,0,0,0,,,,,,,,,0,Matches
Neto Moura,br BRA,MF,17.0,0.2,0,0,0,,,,,,,,,0,Matches
Bruninho,br BRA,FW,23.0,0.1,0,0,0,,,,,,,,,0,Matches
Squad Total,,,27.0,38.0,76,2,1,,,,,,,,,3,
Opponent Total,,,26.0,38.0,73,3,2,,,,,,,,,1,
